Training | Average loss 3.8004 kld 40.7624 kld1 36.5854 kld2 0.6760 kld3 3.5010 elem_type_num 0.0165 elem_type 0.0032 elem_num 0.0117 lattice 0.0008 coord 0.3261 elem_type_num_acc 0.9940, elem_type_acc 0.9995 elem_type_recall 0.9944 elem_num_acc 0.9975 elem_type_match 0.9739 elem_num_match 0.9903 comp_match 0.9668
Training | Average loss 3.7653 kld 40.2464 kld1 36.1151 kld2 0.6284 kld3 3.5029 elem_type_num 0.0172 elem_type 0.0031 elem_num 0.0098 lattice 0.0008 coord 0.3236 elem_type_num_acc 0.9967, elem_type_acc 0.9996 elem_type_recall 0.9949 elem_num_acc 0.9975 elem_type_match 0.9785 elem_num_match 0.9906 comp_match 0.9708
Training | Average loss 3.7889 kld 39.9631 kld1 35.8943 kld2 0.5762 kld3 3.4925 elem_type_num 0.0151 elem_type 0.0030 elem_num 0.0115 lattice 0.0008 coord 0.3265 elem_type_num_acc 0.9967, elem_type_acc 0.9996 elem_type_recall 0.9946 elem_num_acc 0.9978 elem_type_match 0.9779 elem_num_match 0.9915 comp_match 0.9705
Training | Average loss 3.8606 kld 39.4860 kld1 35.4035 kld2 0.5937 kld3 3.4888 elem_type_num 0.0132 elem_type 0.0030 elem_num 0.0086 lattice 0.0008 coord 0.3345 elem_type_num_acc 0.9980, elem_type_acc 0.9997 elem_type_recall 0.9962 elem_num_acc 0.9983 elem_type_match 0.9842 elem_num_match 0.9935 comp_match 0.9782
Training | Average loss 3.7765 kld 39.1794 kld1 35.0479 kld2 0.6251 kld3 3.5064 elem_type_num 0.0083 elem_type 0.0029 elem_num 0.0081 lattice 0.0008 coord 0.3273 elem_type_num_acc 0.9976, elem_type_acc 0.9996 elem_type_recall 0.9951 elem_num_acc 0.9966 elem_type_match 0.9799 elem_num_match 0.9871 comp_match 0.9682
Training | Average loss 3.8620 kld 39.3056 kld1 35.1784 kld2 0.6314 kld3 3.4958 elem_type_num 0.0146 elem_type 0.0029 elem_num 0.0105 lattice 0.0008 coord 0.3349 elem_type_num_acc 0.9953, elem_type_acc 0.9995 elem_type_recall 0.9929 elem_num_acc 0.9955 elem_type_match 0.9712 elem_num_match 0.9829 comp_match 0.9557
Training | Average loss 3.7417 kld 39.4464 kld1 35.3775 kld2 0.5737 kld3 3.4953 elem_type_num 0.0178 elem_type 0.0030 elem_num 0.0116 lattice 0.0008 coord 0.3220 elem_type_num_acc 0.9958, elem_type_acc 0.9996 elem_type_recall 0.9948 elem_num_acc 0.9971 elem_type_match 0.9779 elem_num_match 0.9892 comp_match 0.9690
Training | Average loss 3.7941 kld 39.7159 kld1 35.6090 kld2 0.6223 kld3 3.4846 elem_type_num 0.0182 elem_type 0.0029 elem_num 0.0111 lattice 0.0008 coord 0.3272 elem_type_num_acc 0.9957, elem_type_acc 0.9996 elem_type_recall 0.9947 elem_num_acc 0.9952 elem_type_match 0.9784 elem_num_match 0.9816 comp_match 0.9616
Training | Average loss 3.8365 kld 39.7110 kld1 35.5910 kld2 0.6310 kld3 3.4889 elem_type_num 0.0211 elem_type 0.0030 elem_num 0.0130 lattice 0.0008 coord 0.3308 elem_type_num_acc 0.9930, elem_type_acc 0.9995 elem_type_recall 0.9947 elem_num_acc 0.9959 elem_type_match 0.9733 elem_num_match 0.9844 comp_match 0.9623
Training | Average loss 3.7385 kld 39.9395 kld1 35.8129 kld2 0.6432 kld3 3.4834 elem_type_num 0.0214 elem_type 0.0030 elem_num 0.0121 lattice 0.0008 coord 0.3208 elem_type_num_acc 0.9958, elem_type_acc 0.9996 elem_type_recall 0.9942 elem_num_acc 0.9981 elem_type_match 0.9759 elem_num_match 0.9927 comp_match 0.9701
Training | Average loss 3.7464 kld 39.3906 kld1 35.3284 kld2 0.5742 kld3 3.4880 elem_type_num 0.0144 elem_type 0.0029 elem_num 0.0108 lattice 0.0008 coord 0.3233 elem_type_num_acc 0.9982, elem_type_acc 0.9996 elem_type_recall 0.9947 elem_num_acc 0.9978 elem_type_match 0.9782 elem_num_match 0.9917 comp_match 0.9708
Training | Average loss 3.7034 kld 38.5659 kld1 34.5308 kld2 0.5399 kld3 3.4952 elem_type_num 0.0164 elem_type 0.0028 elem_num 0.0137 lattice 0.0008 coord 0.3197 elem_type_num_acc 0.9963, elem_type_acc 0.9995 elem_type_recall 0.9932 elem_num_acc 0.9969 elem_type_match 0.9724 elem_num_match 0.9880 comp_match 0.9618
Training | Average loss 3.7495 kld 38.2306 kld1 34.2341 kld2 0.5216 kld3 3.4749 elem_type_num 0.0144 elem_type 0.0027 elem_num 0.0111 lattice 0.0008 coord 0.3253 elem_type_num_acc 0.9978, elem_type_acc 0.9997 elem_type_recall 0.9964 elem_num_acc 0.9981 elem_type_match 0.9853 elem_num_match 0.9925 comp_match 0.9785
Training | Average loss 3.8198 kld 38.2824 kld1 34.2131 kld2 0.5667 kld3 3.5026 elem_type_num 0.0190 elem_type 0.0028 elem_num 0.0108 lattice 0.0008 coord 0.3317 elem_type_num_acc 0.9903, elem_type_acc 0.9996 elem_type_recall 0.9936 elem_num_acc 0.9955 elem_type_match 0.9744 elem_num_match 0.9833 comp_match 0.9603
Training | Average loss 3.7184 kld 38.5864 kld1 34.4897 kld2 0.6073 kld3 3.4894 elem_type_num 0.0136 elem_type 0.0028 elem_num 0.0087 lattice 0.0008 coord 0.3219 elem_type_num_acc 0.9959, elem_type_acc 0.9996 elem_type_recall 0.9950 elem_num_acc 0.9970 elem_type_match 0.9798 elem_num_match 0.9886 comp_match 0.9699
Training | Average loss 3.7386 kld 38.2420 kld1 34.1522 kld2 0.6138 kld3 3.4760 elem_type_num 0.0153 elem_type 0.0026 elem_num 0.0102 lattice 0.0007 coord 0.3244 elem_type_num_acc 0.9964, elem_type_acc 0.9996 elem_type_recall 0.9947 elem_num_acc 0.9972 elem_type_match 0.9787 elem_num_match 0.9895 comp_match 0.9699
Training | Average loss 3.7278 kld 38.0063 kld1 33.8927 kld2 0.6431 kld3 3.4705 elem_type_num 0.0151 elem_type 0.0027 elem_num 0.0076 lattice 0.0008 coord 0.3235 elem_type_num_acc 0.9959, elem_type_acc 0.9996 elem_type_recall 0.9955 elem_num_acc 0.9965 elem_type_match 0.9804 elem_num_match 0.9873 comp_match 0.9700
Training | Average loss 3.7191 kld 37.4670 kld1 33.3585 kld2 0.6383 kld3 3.4702 elem_type_num 0.0075 elem_type 0.0026 elem_num 0.0083 lattice 0.0008 coord 0.3244 elem_type_num_acc 0.9985, elem_type_acc 0.9997 elem_type_recall 0.9960 elem_num_acc 0.9969 elem_type_match 0.9839 elem_num_match 0.9886 comp_match 0.9729
Training | Average loss 3.6950 kld 37.1627 kld1 33.1211 kld2 0.5754 kld3 3.4663 elem_type_num 0.0068 elem_type 0.0025 elem_num 0.0071 lattice 0.0007 coord 0.3226 elem_type_num_acc 0.9981, elem_type_acc 0.9997 elem_type_recall 0.9965 elem_num_acc 0.9980 elem_type_match 0.9856 elem_num_match 0.9925 comp_match 0.9790
Training | Average loss 3.7018 kld 36.6757 kld1 32.6470 kld2 0.5515 kld3 3.4772 elem_type_num 0.0078 elem_type 0.0024 elem_num 0.0076 lattice 0.0008 coord 0.3241 elem_type_num_acc 0.9977, elem_type_acc 0.9997 elem_type_recall 0.9959 elem_num_acc 0.9980 elem_type_match 0.9829 elem_num_match 0.9924 comp_match 0.9763
Training | Average loss 3.7148 kld 36.4710 kld1 32.4383 kld2 0.5407 kld3 3.4920 elem_type_num 0.0060 elem_type 0.0025 elem_num 0.0072 lattice 0.0007 coord 0.3255 elem_type_num_acc 0.9994, elem_type_acc 0.9997 elem_type_recall 0.9966 elem_num_acc 0.9991 elem_type_match 0.9868 elem_num_match 0.9965 comp_match 0.9834
